,Reporting Period Start Date,Reporting Period End Date,Metric,Numerator,Denominator,Value,Metric ID,StudyID
1,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,101.266632,32,3.16458225,185,ID314
2,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,209.833278,26,8.070510692,185,ID524
3,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,48.899981,30,1.629999367,185,ID696
4,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,237.749975,23,10.33695543,185,ID852
5,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,17.499993,11,1.590908455,185,ID952
6,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,216.499953,29,7.465515621,185,ID608
7,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,100.433309,19,5.285963632,185,ID054
8,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,119.866627,28,4.280950964,185,ID306
9,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,17.266662,26,0.664102385,185,ID488
10,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,39.366653,18,2.187036278,185,ID193
11,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,42.733327,22,1.942423955,185,ID359
12,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,34.966661,20,1.74833305,185,ID829
13,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,16.299998,16,1.018749875,185,ID606
14,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,43.649997,13,3.357692077,185,ID871
15,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,36.416665,21,1.734126905,185,ID167
16,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,73.183316,23,3.181883304,185,ID928
17,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in In Basket per Day - No Specific Message Type,47.683324,23,2.073188,185,ID397
18,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in System per Day,1276.616565,19,67.19034553,82,ID054
19,2022-11-27T00:00:00,2022-12-31T00:00:00,Scheduled Hours per Day,47.75,8,5.96875,96,ID054
20,2022-11-27T00:00:00,2022-12-31T00:00:00,Time Outside Scheduled Hours,214.9833333,8,26.87291667,120,ID054
21,2022-11-27T00:00:00,2022-12-31T00:00:00,Time On Unscheduled Days,494.816664,11,44.98333309,121,ID054
22,2022-11-27T00:00:00,2022-12-31T00:00:00,Time Outside of 7 AM to 7 PM,1.083333333,2,0.541666667,122,ID054
23,2022-11-27T00:00:00,2022-12-31T00:00:00,Pajama Time,27.53333333,8,3.441666667,126,ID054
24,2022-11-27T00:00:00,2022-12-31T00:00:00,Quick Filters Used per Day,77,19,4.052631579,179,ID054
25,2022-11-27T00:00:00,2022-12-31T00:00:00,PEP Score,6.049644691,1,6.049644691,201,ID054
26,2022-11-27T00:00:00,2022-12-31T00:00:00,Pajama Time,887.8666667,23,38.60289855,126,ID306
27,2022-11-27T00:00:00,2022-12-31T00:00:00,Time Outside of 7 AM to 7 PM,677.8166667,20,33.89083333,122,ID306
28,2022-11-27T00:00:00,2022-12-31T00:00:00,Time On Unscheduled Days,203.233332,5,40.6466664,121,ID306
29,2022-11-27T00:00:00,2022-12-31T00:00:00,Time Outside Scheduled Hours,754.8666667,23,32.82028986,120,ID306
30,2022-11-27T00:00:00,2022-12-31T00:00:00,Scheduled Hours per Day,160.25,24,6.677083333,96,ID306
31,2022-11-27T00:00:00,2022-12-31T00:00:00,Time in System per Day,4921.916442,28,175.7827301,82,ID306
32,2022-11-27T00:00:00,2022-12-31T00:00:00,Quick Filters Created,0,1,0,79,ID306
33,2022-11-27T00:00:00,2022-12-31T00:00:00,SmartPhrases Shared With Provider,241,1,241,78,ID306
34,2022-11-27T00:00:00,2022-12-31T00:00:00,SmartPhrases Created by Provider,237,1,237,77,ID306
