"","StudyID","custom_personal","custom_recruit","mbi_ee_1_drained","mbi_ee_2_used","mbi_ee_3_fatigue","mbi_ee_4_strain","mbi_ee_5_burnout","mbi_ee_6_frustrated","mbi_ee_7_hard","mbi_ee_8_stressed","mbi_ee_9_end","mbi_pa_1_understand","mbi_pa_2_effective","mbi_pa_3_influence","mbi_pa_4_energy","mbi_pa_5_relaxed","mbi_pa_6_exhilarated","mbi_pa_7_accomplished","mbi_pa_8_calm","mbi_dp_1_impersonal","mbi_dp_2_callous","mbi_dp_3_hardening","mbi_dp_4_dontcare","mbi_dp_5_blame","ntl_1_mental","ntl_2_physical","ntl_3_temporal","ntl_5_performance","ntl_6_effort","ntl_6_frustration","form_1_complete","custom_personal.factor","custom_recruit.factor","mbi_ee_1_drained.factor","mbi_ee_2_used.factor","mbi_ee_3_fatigue.factor","mbi_ee_4_strain.factor","mbi_ee_5_burnout.factor","mbi_ee_6_frustrated.factor","mbi_ee_7_hard.factor","mbi_ee_8_stressed.factor","mbi_ee_9_end.factor","mbi_pa_1_understand.factor","mbi_pa_2_effective.factor","mbi_pa_3_influence.factor","mbi_pa_4_energy.factor","mbi_pa_5_relaxed.factor","mbi_pa_6_exhilarated.factor","mbi_pa_7_accomplished.factor","mbi_pa_8_calm.factor","mbi_dp_1_impersonal.factor","mbi_dp_2_callous.factor","mbi_dp_3_hardening.factor","mbi_dp_4_dontcare.factor","mbi_dp_5_blame.factor"
"1","ID006",6,5,2,2,2,1,1,2,1,0,1,3,3,3,2,4,2,4,4,1,1,2,0,1,59,35,81,96,75,50,2,"Strongly agree","Somewhat agree","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Never","Rarely","Frequently","Frequently","Frequently","Sometimes","Always","Sometimes","Always","Always","Rarely","Rarely","Sometimes","Never","Rarely"
"2","ID524",6,6,3,3,1,1,2,2,3,1,1,2,3,3,2,2,3,3,3,1,1,1,1,3,76,82,68,71,100,61,2,"Strongly agree","Strongly agree","Frequently","Frequently","Rarely","Rarely","Sometimes","Sometimes","Frequently","Rarely","Rarely","Sometimes","Frequently","Frequently","Sometimes","Sometimes","Frequently","Frequently","Frequently","Rarely","Rarely","Rarely","Rarely","Frequently"
"3","ID928",4,4,3,3,3,3,3,2,3,3,3,1,1,1,2,1,1,1,1,3,3,3,2,2,91,40,82,80,62,69,2,"Neutral","Neutral","Frequently","Frequently","Frequently","Frequently","Frequently","Sometimes","Frequently","Frequently","Frequently","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Frequently","Frequently","Frequently","Sometimes","Sometimes"
"4","ID359",3,2,2,3,1,1,2,2,3,1,0,3,3,3,3,3,3,3,2,0,0,1,1,1,87,50,87,74,96,89,2,"Somewhat disagree","Strongly disagree","Sometimes","Frequently","Rarely","Rarely","Sometimes","Sometimes","Frequently","Rarely","Never","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Sometimes","Never","Never","Rarely","Rarely","Rarely"
"5","ID731",5,6,3,3,2,1,2,1,2,1,1,3,3,2,1,3,0,1,3,2,2,1,1,1,70,0,90,100,80,65,2,"Somewhat agree","Strongly agree","Frequently","Frequently","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Rarely","Frequently","Frequently","Sometimes","Rarely","Frequently","Never","Rarely","Frequently","Sometimes","Sometimes","Rarely","Rarely","Rarely"
"6","ID608",4,6,2,3,3,1,3,3,3,1,2,4,4,3,2,3,2,3,3,1,1,1,1,1,66,69,71,100,77,40,2,"Neutral","Strongly agree","Sometimes","Frequently","Frequently","Rarely","Frequently","Frequently","Frequently","Rarely","Sometimes","Always","Always","Frequently","Sometimes","Frequently","Sometimes","Frequently","Frequently","Rarely","Rarely","Rarely","Rarely","Rarely"
"7","ID696",6,5,2,2,1,0,1,1,2,1,0,3,3,3,3,3,3,3,3,0,0,0,0,1,74,74,60,50,76,77,2,"Strongly agree","Somewhat agree","Sometimes","Sometimes","Rarely","Never","Rarely","Rarely","Sometimes","Rarely","Never","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Never","Never","Never","Never","Rarely"
"8","ID319",7,7,3,4,3,4,3,3,4,2,2,3,2,2,1,3,1,2,3,2,2,2,2,3,85,71,100,100,85,100,2,"Very strongly agree","Very strongly agree","Frequently","Always","Frequently","Always","Frequently","Frequently","Always","Sometimes","Sometimes","Frequently","Sometimes","Sometimes","Rarely","Frequently","Rarely","Sometimes","Frequently","Sometimes","Sometimes","Sometimes","Sometimes","Frequently"
"9","ID852",6,6,3,3,3,1,2,2,2,1,1,3,3,3,2,2,1,1,3,1,2,3,0,2,85,80,95,95,95,95,2,"Strongly agree","Strongly agree","Frequently","Frequently","Frequently","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Frequently","Frequently","Frequently","Sometimes","Sometimes","Rarely","Rarely","Frequently","Rarely","Sometimes","Frequently","Never","Sometimes"
"10","ID606",1,1,3,3,3,1,3,3,3,0,2,3,2,2,2,3,2,3,2,1,0,1,0,2,95,95,50,50,95,75,2,"Very strongly disagree","Very strongly disagree","Frequently","Frequently","Frequently","Rarely","Frequently","Frequently","Frequently","Never","Sometimes","Frequently","Sometimes","Sometimes","Sometimes","Frequently","Sometimes","Frequently","Sometimes","Rarely","Never","Rarely","Never","Sometimes"
"11","ID054",7,7,3,3,3,2,2,3,4,1,2,3,2,3,3,3,2,3,2,1,3,2,0,2,80,91,100,33,100,100,2,"Very strongly agree","Very strongly agree","Frequently","Frequently","Frequently","Sometimes","Sometimes","Frequently","Always","Rarely","Sometimes","Frequently","Sometimes","Frequently","Frequently","Frequently","Sometimes","Frequently","Sometimes","Rarely","Frequently","Sometimes","Never","Sometimes"
